scene,split,step,psnr,ssim,lpips,ellipse_time,num_GS,mem_gb,train_runtime,eval_runtime,full_runtime,script_path,partition,gpu_num,log_out,log_err,trace,sample,project_dir,gpus,cpus,mem,time,force_overwrite,gpu_type,scenes,args,profile_output
bicycle,train,6999,,,,526.5420141220093,5863995,11.691327571868896,27m52.384s,3m51.681s,64m1.806s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,bicycle,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-bicycle
bicycle,train,29999,,,,3002.1778662204742,7275242,13.392318725585938,27m52.384s,3m51.681s,64m1.806s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,bicycle,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-bicycle
bicycle,val,6999,24.336761474609375,0.7152400016784668,0.24210265278816223,0.2659024429321289,5863995,,27m52.384s,3m51.681s,64m1.806s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,bicycle,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-bicycle
bicycle,val,29999,25.668325424194336,0.7829580307006836,0.13799121975898743,0.3325088596343994,7275242,,27m52.384s,3m51.681s,64m1.806s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,bicycle,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-bicycle
bonsai,train,6999,,,,284.581969499588,2005239,5.478445053100586,18m9.611s,1m29.572s,29m36.887s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,bonsai,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-bonsai
bonsai,train,29999,,,,1138.199213027954,1729614,5.478445053100586,18m9.611s,1m29.572s,29m36.887s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,bonsai,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-bonsai
bonsai,val,6999,30.00867462158203,0.9326336979866028,0.13438613712787628,0.023152886210261164,2005239,,18m9.611s,1m29.572s,29m36.887s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,bonsai,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-bonsai
bonsai,val,29999,32.50087356567383,0.9500371813774109,0.10778511315584183,0.01958957233944455,1729614,,18m9.611s,1m29.572s,29m36.887s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,bonsai,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-bonsai
counter,train,6999,,,,278.1362109184265,1694090,4.520748615264893,18m4.273s,1m35.321s,28m20.885s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,counter,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-counter
counter,train,29999,,,,1215.9588146209717,1674606,4.520748615264893,18m4.273s,1m35.321s,28m20.885s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,counter,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-counter
counter,val,6999,27.41519546508789,0.8923904895782471,0.1795237958431244,0.04782872200012207,1694090,,18m4.273s,1m35.321s,28m20.885s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,counter,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-counter
counter,val,29999,29.212677001953125,0.9194129109382629,0.13303440809249878,0.040153368314107256,1674606,,18m4.273s,1m35.321s,28m20.885s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,counter,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-counter
garden,train,6999,,,,482.04776549339294,6593498,12.889298439025879,27m18.847s,1m3.715s,40m43.849s,/scratch/rhm4nj/gpu_arch/gsplat-fork/examples/benchmarks/custom_mod.sh,gpu,0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_out/%x-%j.out,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/slurm_err/%x-%j.err,"cuda,osrt,nvtx",cpu,/scratch/rhm4nj/gpu_arch/gsplat-fork,1,4,64G,05:00:00,true,a6000,garden,--optimizer-stride 1 --enable-frustum-culling --cache-mode twoq --enable-prefetch --vram-thresh-gb 14.0,/scratch/rhm4nj/gpu_arch/gsplat-fork/scripts/slurm/outputs/2026-05-03_13-17-42_FINAL_scene_sweep_twoq_prefetch/results/profile_gsplat_s-garden
